query,expected,actual,match
"Hi, Please let me know the reason for my salary deduction in sep 2025","For Sep 2025, I don’t have your salary (pay register) record in the system, so I can’t compute the exact deduction amount. However, I do see LOP (Loss of Pay) recorded for you — total 2 day(s). That would reduce paid days and is a likely reason your salary was lower. LOP dates found: - 2025-09-29: 1 day(s) - 2025-09-30: 1 day(s) If you want the exact ₹ impact (net pay / deductions breakup), we’ll need the pay register for that month to be ingested.",No salary data available for Sep 2025.,False
Can you tell me why my salary got reduced for sep 2025?,"For Sep 2025, I don’t have your salary (pay register) record in the system, so I can’t compute the exact deduction amount. However, I do see LOP (Loss of Pay) recorded for you — total 2 day(s). That would reduce paid days and is a likely reason your salary was lower. LOP dates found: - 2025-09-29: 1 day(s) - 2025-09-30: 1 day(s) If you want the exact ₹ impact (net pay / deductions breakup), we’ll need the pay register for that month to be ingested.",I could not confidently answer that. Please contact the payroll team.,False
"My salary is less for sept 2025, why?","For Sep 2025, I don’t have your salary (pay register) record in the system, so I can’t compute the exact deduction amount. However, I do see LOP (Loss of Pay) recorded for you — total 2 day(s). That would reduce paid days and is a likely reason your salary was lower. LOP dates found: - 2025-09-29: 1 day(s) - 2025-09-30: 1 day(s) If you want the exact ₹ impact (net pay / deductions breakup), we’ll need the pay register for that month to be ingested.",I could not confidently answer that. Please contact the payroll team.,False
why is my salary less for sep 2025,"For Sep 2025, I don’t have your salary (pay register) record in the system, so I can’t compute the exact deduction amount. However, I do see LOP (Loss of Pay) recorded for you — total 2 day(s). That would reduce paid days and is a likely reason your salary was lower. LOP dates found: - 2025-09-29: 1 day(s) - 2025-09-30: 1 day(s) If you want the exact ₹ impact (net pay / deductions breakup), we’ll need the pay register for that month to be ingested.",Salary data for the selected period is not available yet. Please check back later or contact payroll.,False
why is my salary so less for april 2025,"For Sep 2025, I don’t have your salary (pay register) record in the system, so I can’t compute the exact deduction amount. However, I do see LOP (Loss of Pay) recorded for you — total 2 day(s). That would reduce paid days and is a likely reason your salary was lower. LOP dates found: - 2025-09-29: 1 day(s) - 2025-09-30: 1 day(s) If you want the exact ₹ impact (net pay / deductions breakup), we’ll need the pay register for that month to be ingested.",I could not confidently answer that. Please contact the payroll team.,False
"Hi team, please let me know the reimbursement provided along with May 2025 salary was of which period","I checked what was paid along with your May 2025 salary. You received Conveyance Reimbursement of Rs 2,990. It relates to the period 2025-03-01 to 2025-03-31, and it was paid in May 2025.",No OT/allowance data available for May 2025.,False
For which period did i get a reimbursement with the may 2025 salary?,I could not find that component in your payroll records. Please double-check the component name or contact the Payroll team.,No OT/allowance data available for May 2025.,False
For which period did i get a non taxable earnings with the may 2025 salary?,"I checked what was paid along with your May 2025 salary. You received Conveyance Reimbursement of Rs 2,990.00. It relates to the period 2025-03-01 to 2025-03-31, and it was paid in May 2025.",No tax data available for May 2025.,False
"I am supposed to get a reimburesement for the period of march 1, 2025 to march 31, 2025. Did i get that and which month's salary has it been added?","I checked OT/allowance records for work periods that fall in Mar 2025. I found 2 entries totaling Rs 7,662. Details: 1) Reimbursement: Rs 4,672 (period: 2025-03-01 to 2025-03-31, paid in: Apr 2025) 2) Conveyance Reimbursement: Rs 2,990 (period: 2025-03-01 to 2025-03-31, paid in: May 2025)",No salary data available for Mar 2025.,False
how much will be my pf deduction?,"I don't have payroll records for Apr 2026 yet. Here is the data for the latest available month, Jun 2025. For Jun 2025, your Provident Fund (PF) was Rs 2,880.",I could not confidently answer that. Please contact the payroll team.,False
which regime i have chosen, I don't have tax records for FY 2026-27 yet (it ends on March 2027).,I could not confidently answer that. Please contact the payroll team.,False
I am under which tax regime for this financial year?,I don't have tax records for FY 2026-27 yet (it ends on March 2027).,Tax regime once selected during a financial year cannot be changed until the end of the financial year.,False
I was under which tax regime last year?,You are under the Old Regime for FY 2025-2026 (as per your tax records).,I could not confidently answer that. Please contact the payroll team.,False
what is calculated amount for HRA monthly for my payroll,"I don't have payroll records for Apr 2026 yet. Here is the data for the latest available month, Jun 2025. For Jun 2025, your House Rent Allowance (HRA) was Rs 9,600.",I could not confidently answer that. Please contact the payroll team.,False
share my monthly lta amount for my payroll details,"I don't have payroll records for Apr 2026 yet. Here is the data for the latest available month, Jun 2025. For Jun 2025, your Leave Travel Allowance (LTA) was Rs 1,999.",I could not confidently answer that. Please contact the payroll team.,False
give me the lta amount received for jun 2025,"For Jun 2025, your Leave Travel Allowance (LTA) was Rs 1,999.",No salary data available for Jun 2025.,False
what is my net taxable income for jan 2026,"Your net taxable income is Rs 2,211,652.","Based on the tool data, your net taxable income for January 2026 is:

$250,527 (total tax liability)

Note: This answer is based solely on the provided tool data and does not take into account any other factors that may affect your actual net taxable income.",False
what is my total gross salary for jan 2026,"Your total gross salary is Rs 2,611,308.","According to the tool data, your total gross salary for January 2026 is $190,998.",False
what is my surcharge on income tax for jan 2026,Your surcharge on income is Rs 0.,"According to the tool data, your surcharge on income tax for January 2026 is not explicitly stated. However, I can provide you with some information that might be helpful.

The total tax liability for January 2026 is $250,527. To determine the surcharge, we would need more specific information about your individual circumstances and the applicable tax rates.

I could not confidently answer that. Please contact the payroll team.",False
what is my total tax liability for jan 2026,"Your total tax liability is Rs 495,036.","According to the tool data, your total tax liability for January 2026 is $250,527.",False
what is my total income tax paid from salary till date for jan 2026,"Your total income tax paid from salary till date is Rs 384,779.","Based on the tool data, your total income tax paid from salary till date for January 2026 is $250,527.",False
what is my income tax due for jan 2026,"Your income tax due is Rs 110,257.","According to the tool data, your income tax due for January 2026 is $250,527.",False
Hi please let me know the reason for  salary deduction in sep'26,"I don't have payroll records for Sep 2026 yet. Here is the data for the latest available month, Jun 2025. For Jun 2025, here are the deductions that could have reduced your salary: - Professional Tax (PT): Rs 200 - Provident Fund (PF): Rs 2,880 - Total Deductions: Rs 3,080",Salary data is not available for future dates (Sep-2026).,False
"Hi team, Please let me know the reimbursement provided along with April'26 salary was of which period?",No OT/shift allowance records found for Apr 2026.,No OT/allowance data available for Apr 2026.,False
what will be my net take home per month,"I don't have payroll records for Apr 2026 yet. Here is the data for the latest available month, Jun 2025. For Jun 2025, your Net Pay was Rs 46,862.",I could not confidently answer that. Please contact the payroll team.,False
how much will be my PF deduction,"I don't have payroll records for Apr 2026 yet. Here is the data for the latest available month, Jun 2025. For Jun 2025, your Provident Fund (PF) was Rs 2,880.",I could not confidently answer that. Please contact the payroll team.,False
what is my total gross salary in a year,"I don't have tax records for Apr 2026 yet. Here is the data for the latest available month, Feb 2026. Your total gross salary is Rs 2,700,116.",I could not confidently answer that. Please contact the payroll team.,False
For me tax calculation is done based on which tax regime,I don't have tax records for FY 2026-27 yet (it ends on March 2027).,I could not confidently answer that. Please contact the payroll team.,False
in the payslip of May i see a nontaxable earnings of Rs.2990 please confirm for which period is this,"I do not have access to records for other employees. I can only assist with your own payroll, tax, and FAQ queries.",Salary data is not available for future dates (May-2026).,False
